year,month,categorie,value,shares
1989,8,1,1.34905e6,0.21664163630477346
1989,8,2,2.269218e6,0.36440984444775615
1989,8,3,2.045665e6,0.32850984984352277
1989,8,4,241705.0,0.038814993293832895
1989,8,5,1587.0,0.00025485362055941254
1989,8,6,0.0,0.0
1989,8,7,0.0,0.0
1989,8,8,0.0,0.0
1989,9,0,357203.0,0.05736261992733701
1989,9,1,844486.0,0.13561456497273852
1989,9,2,2.03042e6,0.32606168132088365
1989,9,3,1.658582e6,0.2663488517294717
1989,9,4,1.111558e6,0.17850320148820384
1989,9,5,200464.0,0.03219217151343546
1989,9,6,24391.0,0.003916909047929824
1989,9,7,0.0,0.0
1989,9,8,0.0,0.0
1989,10,0,0.0,0.0
1989,10,1,77279.0,0.01241010267373084
1989,10,2,2.376169e6,0.38158492294331364
1989,10,3,3.15761e6,0.5070751990010124
1989,10,4,616046.0,0.0989297753819432
1989,10,5,0.0,0.0
1989,10,6,0.0,0.0
1989,10,7,0.0,0.0
1989,10,8,0.0,0.0
1989,11,0,0.0,0.0
1989,11,1,0.0,0.0
1989,11,2,695879.0,0.11175002055530146
1989,11,3,1.936457e6,0.3109723235712781
1989,11,4,1.804138e6,0.28972344126579547
1989,11,5,982612.0,0.15779598349409293
1989,11,6,808018.0,0.12975823111353207
1989,11,7,0.0,0.0
1989,11,8,0.0,0.0
1989,12,0,0.0,0.0
1989,12,1,23508.0,0.0037751095854509577
1989,12,2,782363.0,0.12563833846359398
1989,12,3,2.043859e6,0.3282198273868559
1989,12,4,2.108012e6,0.3385220481302384
1989,12,5,1.082204e6,0.1737892927434647
1989,12,6,187158.0,0.03005538369039605
1989,12,7,0.0,0.0
1989,12,8,0.0,0.0
1990,1,0,0.0,0.0
1990,1,1,0.0,0.0
1990,1,2,20568.0,0.003302980004830496
1990,1,3,293600.0,0.047148722744954956
1990,1,4,1.788907e6,0.2872775209792546
1990,1,5,2.479329e6,0.39815121122113906
1990,1,6,1.298559e6,0.20853337281664158
1990,1,7,323767.0,0.05199318977168199
1990,1,8,22374.0,0.003593002461497351
1990,2,0,0.0,0.0
1990,2,1,0.0,0.0
1990,2,2,33473.0,0.005375371922485958
1990,2,3,692437.0,0.11119727565173153
1990,2,4,2.740395e6,0.4400753544504797
1990,2,5,2.754994e6,0.44241978293601647
1990,2,6,5805.0,0.00093221503928632
1990,2,7,0.0,0.0
1990,2,8,0.0,0.0
1990,3,0,0.0,0.0
1990,3,1,0.0,0.0
1990,3,2,42287.0,0.006790797134590975
1990,3,3,759107.0,0.1219036971279105
1990,3,4,2.600088e6,0.41754369286268544
1990,3,5,2.810057e6,0.451262256098501
1990,3,6,15565.0,0.0024995567763120706
1990,3,7,0.0,0.0
1990,3,8,0.0,0.0
1990,4,0,0.0,0.0
1990,4,1,0.0,0.0
1990,4,2,0.0,0.0
1990,4,3,98216.0,0.015772339758577985
1990,4,4,1.325323e6,0.21283135788321506
1990,4,5,2.37778e6,0.3818436306828985
1990,4,6,1.933165e6,0.31044366691161734
1990,4,7,492620.0,0.07910900476369112
1990,4,8,0.0,0.0
1990,5,0,0.0,0.0
1990,5,1,0.0,0.0
1990,5,2,6655.0,0.001068715088105161
1990,5,3,148009.0,0.02376851261838569
1990,5,4,1.411382e6,0.22665142576709815
1990,5,5,2.56578e6,0.4120342297157716
1990,5,6,1.714744e6,0.2753678114256643
1990,5,7,380534.0,0.0611093053849751
1990,5,8,0.0,0.0
1990,6,0,0.0,0.0
1990,6,1,0.0,0.0
1990,6,2,12489.0,0.0020055871878805944
1990,6,3,245545.0,0.0394316523379086
1990,6,4,1.571523e6,0.25236819555286055
1990,6,5,3.200774e6,0.5140068320683259
1990,6,6,1.100194e6,0.1766782761296423
1990,6,7,96579.0,0.01550945672338217
1990,6,8,0.0,0.0
1990,7,0,0.0,0.0
1990,7,1,2292.0,0.00036806836693268653
1990,7,2,199642.0,0.032060167936813
1990,7,3,1.041055e6,0.16718124508599824
1990,7,4,2.592556e6,0.4163341418418578
1990,7,5,1.792906e6,0.287919713561874
1990,7,6,574081.0,0.09219068767761066
1990,7,7,24572.0,0.003945975528913601
1990,7,8,0.0,0.0
1990,8,0,0.0,0.0
1990,8,1,0.0,0.0
1990,8,2,338975.0,0.05443541652749015
1990,8,3,3.410202e6,0.5476385170377756
1990,8,4,2.445578e6,0.3927311957532747
1990,8,5,32349.0,0.005194870681459632
1990,8,6,0.0,0.0
1990,8,7,0.0,0.0
1990,8,8,0.0,0.0
1990,9,0,0.0,0.0
1990,9,1,0.0,0.0
1990,9,2,16849.0,0.0027057521441748843
1990,9,3,479254.0,0.07696258164308803
1990,9,4,1.005435e6,0.16146109009902518
1990,9,5,1.397544e6,0.22442920497232743
1990,9,6,1.502737e6,0.241321969249269
1990,9,7,1.825285e6,0.2931194018921155
1990,9,8,0.0,0.0
1990,10,0,0.0,0.0
1990,10,1,0.0,0.0
1990,10,2,0.0,0.0
